Step,Total Reward
0,0
250,336
500,674
750,1052
1000,1396
1250,1738
1500,2066
1750,2434
2000,2832
2250,3172
2500,3472
2750,3762
3000,4074
3250,4476
3500,4782
3750,5092
4000,5438
4250,5732
4500,6030
4750,6376
5000,6666
5250,6920
5500,7332
5750,7682
6000,7974
6250,8316
6500,8664
6750,8976
7000,9362
7250,9720
7500,10096
7750,10370
8000,10670
8250,11106
8500,11436
8750,11792
9000,12100
9250,12384
9500,12710
9750,13048
