Step,Total Reward
0,0
250,406
500,824
750,1258
1000,1692
1250,2088
1500,2516
1750,2952
2000,3372
2250,3780
2500,4224
2750,4632
3000,5032
3250,5448
3500,5848
3750,6298
4000,6728
4250,7152
4500,7566
4750,7952
5000,8388
5250,8816
5500,9240
5750,9626
6000,10040
6250,10440
6500,10882
6750,11294
7000,11712
7250,12138
7500,12526
7750,12942
8000,13370
8250,13806
8500,14230
8750,14660
9000,15058
9250,15472
9500,15896
9750,16306
