Step,Total Reward
0,0
250,396
500,748
750,1078
1000,1454
1250,1902
1500,2286
1750,2624
2000,3092
2250,3520
2500,3818
2750,4228
3000,4770
3250,5084
3500,5416
3750,5724
4000,6168
4250,6708
4500,7214
4750,7706
5000,8304
5250,8870
5500,9464
5750,10092
6000,10876
6250,11506
6500,12154
6750,13110
7000,14048
7250,14636
7500,15428
7750,16394
8000,17138
8250,17712
8500,18696
8750,19686
9000,20706
9250,21668
9500,23196
9750,24700
